Study_Hours,Attendance_Percent,Assignments_Completed,Previous_Score,Sleep_Hours,Exam_Score
8.79,92.0,9.7,63.1,8.0,100.0
8.47,86.6,5.6,80.2,5.7,100.0
1.31,91.5,5.7,57.0,5.3,75.6
2.79,95.5,6.1,62.4,7.0,100.0
7.8,96.3,6.4,85.1,8.7,100.0
5.48,98.7,6.2,70.2,8.2,100.0
7.48,74.7,5.0,96.8,8.8,100.0
2.42,73.9,7.8,76.9,8.1,96.1
10.49,94.7,7.1,81.9,6.7,100.0
3.85,77.7,9.2,75.8,7.7,100.0
5.12,64.3,9.6,59.0,9.2,98.0
5.94,77.4,4.6,79.2,9.5,100.0
7.52,92.1,10.0,56.1,5.2,100.0
11.79,77.3,8.3,48.4,7.5,100.0
3.3,89.6,9.7,72.7,6.3,100.0
2.79,85.0,7.2,80.0,8.2,100.0
2.6,68.6,8.6,82.9,7.9,90.8
9.52,86.5,8.4,73.0,7.1,100.0
5.21,82.1,9.8,67.2,6.2,100.0
11.2,76.5,6.3,66.4,7.6,100.0
1.73,67.7,6.3,74.4,7.0,97.8
6.85,97.9,6.9,80.0,7.3,100.0
9.33,72.9,9.8,68.3,6.9,100.0
6.58,61.6,10.0,75.6,7.5,100.0
5.47,90.3,5.4,81.9,7.1,100.0
9.93,77.5,8.4,82.4,8.1,100.0
6.6,93.8,7.4,82.0,4.0,100.0
10.97,80.9,7.0,78.0,6.8,100.0
3.62,81.8,8.4,88.8,6.5,100.0
7.58,87.8,10.0,57.5,7.5,100.0
7.98,83.1,8.5,88.2,8.1,100.0
10.98,83.1,6.6,68.9,7.3,100.0
2.03,92.8,6.3,49.5,7.2,84.0
9.86,73.0,8.4,69.5,6.5,100.0
8.52,87.5,7.9,71.9,8.0,100.0
10.47,84.8,9.5,52.2,9.3,100.0
7.7,66.0,10.0,68.4,7.6,100.0
5.99,93.1,7.9,41.8,7.4,98.5
9.76,89.7,8.6,88.4,7.6,100.0
4.13,97.3,10.0,64.9,6.4,100.0
1.61,77.6,9.8,67.9,6.1,98.5
9.25,71.0,5.9,79.5,6.1,100.0
9.94,100.0,4.9,68.1,7.3,100.0
10.12,71.8,5.0,52.9,7.9,100.0
5.92,74.1,4.3,44.8,7.4,84.2
9.06,87.5,8.2,75.9,6.7,100.0
8.85,77.7,5.2,77.6,7.8,100.0
4.17,86.1,8.7,62.8,6.7,95.7
9.42,68.8,6.0,44.0,7.5,100.0
11.61,65.0,9.2,71.9,6.4,100.0
4.87,76.5,8.6,67.8,7.5,100.0
4.01,88.7,7.8,75.4,5.9,100.0
7.42,81.7,8.3,58.5,5.2,100.0
10.66,93.9,5.2,42.9,7.7,100.0
7.69,79.4,3.0,61.4,8.7,100.0
11.67,83.9,6.5,77.3,6.5,100.0
11.15,72.9,8.2,80.5,4.0,100.0
8.82,67.4,5.1,63.8,8.4,100.0
8.78,69.9,8.6,61.2,7.2,100.0
2.96,74.1,8.5,46.3,9.8,84.8
4.75,100.0,7.6,82.3,8.8,100.0
9.91,69.2,7.9,62.6,6.4,100.0
5.41,73.2,7.3,59.4,7.0,99.8
3.51,95.7,7.7,57.3,7.7,99.9
1.69,75.3,5.1,63.2,6.3,80.6
3.45,87.9,9.3,73.0,8.9,100.0
7.35,59.2,8.0,63.4,7.8,100.0
11.17,72.3,8.4,84.2,6.1,100.0
5.31,87.1,6.1,75.7,8.7,100.0
9.68,65.0,4.7,72.4,5.5,100.0
2.42,83.8,9.6,83.5,7.8,100.0
10.05,82.3,4.7,53.5,5.6,100.0
11.2,76.4,6.8,69.7,8.3,100.0
6.53,79.2,7.2,77.5,6.1,100.0
6.0,89.0,7.9,77.8,6.4,100.0
10.99,81.4,8.0,62.9,7.4,100.0
3.51,91.8,7.4,53.6,7.5,99.2
11.13,89.8,4.8,45.7,7.5,100.0
11.09,97.3,6.9,73.9,7.2,100.0
11.53,77.7,7.2,67.0,5.9,100.0
10.8,83.7,8.4,65.9,6.8,100.0
6.78,71.4,7.8,70.1,7.0,100.0
8.5,88.1,9.4,67.4,7.4,100.0
6.86,74.8,8.9,61.9,6.3,100.0
4.32,88.1,5.1,77.0,7.9,96.0
11.9,79.2,7.5,51.9,6.5,100.0
1.27,80.2,8.2,54.5,6.3,82.2
3.77,84.2,6.5,52.4,5.9,87.2
11.22,74.5,10.0,63.9,5.9,100.0
11.48,75.3,6.4,75.5,5.8,100.0
4.07,75.7,5.1,58.8,6.2,85.1
12.0,76.5,4.2,69.7,8.8,100.0
9.94,88.1,6.6,79.2,7.0,100.0
9.55,78.0,6.6,89.2,9.2,100.0
7.29,76.2,6.7,78.2,4.9,100.0
5.34,90.1,3.4,62.0,8.0,97.3
1.1,88.8,7.4,50.2,7.8,79.8
5.02,80.3,9.5,38.1,5.0,94.4
5.12,100.0,6.3,61.1,7.2,100.0
1.9,71.4,8.5,69.4,7.2,100.0
1.93,97.9,6.3,62.9,7.5,92.0
3.9,84.4,6.0,91.4,6.3,100.0
6.44,91.9,9.9,52.7,7.5,100.0
9.52,78.8,8.8,60.8,8.2,100.0
7.48,93.5,9.1,40.7,5.8,100.0
6.95,72.0,10.0,81.9,6.5,100.0
9.76,89.8,7.5,60.9,7.7,100.0
10.33,84.4,7.5,46.4,5.9,100.0
5.84,90.8,7.7,66.0,8.1,100.0
7.68,77.0,10.0,85.4,7.0,100.0
11.13,86.1,9.2,91.6,8.1,100.0
1.88,74.0,5.9,65.0,4.0,74.3
7.7,78.3,6.0,75.5,8.2,100.0
9.54,79.4,8.2,62.9,7.6,100.0
5.7,75.8,8.4,65.3,7.8,100.0
9.25,77.0,8.3,61.7,6.2,100.0
10.24,69.6,8.5,86.7,9.0,100.0
9.41,80.6,7.2,59.6,6.1,100.0
6.9,96.3,8.6,43.7,8.1,100.0
8.97,100.0,8.7,54.5,6.9,100.0
8.8,73.5,5.9,60.6,4.7,100.0
5.22,74.3,5.2,70.0,7.8,99.6
1.23,85.2,7.9,61.2,7.1,99.9
11.45,86.9,6.8,70.2,6.1,100.0
6.14,69.0,4.9,70.4,6.8,100.0
4.28,58.9,8.9,63.5,10.0,100.0
3.76,84.5,8.3,76.0,6.2,100.0
5.39,95.2,10.0,56.9,8.2,100.0
7.36,96.1,7.4,55.7,6.8,100.0
6.7,81.8,7.6,79.1,7.2,100.0
5.2,95.8,4.9,68.7,8.2,100.0
1.86,80.2,10.0,33.4,8.1,79.4
11.79,68.0,8.6,62.6,7.5,100.0
1.17,80.6,9.1,74.5,5.8,82.7
11.12,92.2,7.0,85.5,7.3,100.0
1.35,83.2,7.4,76.0,7.3,93.6
6.56,76.3,8.1,71.8,6.3,100.0
9.64,82.5,6.1,80.2,5.7,100.0
8.3,85.3,6.1,80.0,8.5,100.0
8.76,83.3,10.0,81.6,5.6,100.0
2.07,84.9,8.1,54.4,7.8,93.1
10.5,85.7,6.2,66.9,6.1,100.0
8.15,92.6,4.9,49.9,7.8,100.0
11.36,83.2,5.4,80.6,4.7,100.0
11.95,80.4,8.1,59.9,8.1,100.0
9.3,85.5,5.8,55.8,6.6,100.0
9.86,87.8,5.5,89.5,5.9,100.0
11.57,64.5,7.1,55.0,9.4,100.0
8.91,93.4,8.1,63.1,7.0,100.0
7.73,98.9,9.8,67.8,7.3,100.0
6.8,82.2,6.0,65.6,7.2,100.0
6.75,88.1,6.2,81.3,7.9,100.0
8.04,74.6,8.1,75.0,6.4,100.0
7.87,88.7,6.6,55.9,8.9,100.0
1.02,73.4,9.0,77.2,6.0,87.9
2.64,83.7,6.6,64.3,6.4,85.1
5.58,87.7,5.1,60.9,7.3,88.1
4.16,74.1,6.2,74.7,9.6,100.0
8.42,70.9,4.7,72.8,6.4,100.0
11.9,78.5,6.5,69.3,7.5,100.0
3.92,76.3,8.3,57.5,6.5,94.3
9.92,78.7,7.6,68.6,6.1,100.0
5.09,71.0,7.3,53.2,7.4,96.3
8.96,92.8,5.2,76.6,8.8,100.0
1.98,79.2,6.1,64.1,5.4,79.1
7.86,86.4,6.8,66.5,7.3,100.0
6.73,65.7,7.9,75.8,7.7,100.0
10.12,76.1,10.0,65.2,6.8,100.0
2.3,97.9,6.2,73.2,6.6,100.0
6.74,73.2,9.2,59.0,6.1,100.0
10.5,84.8,5.4,70.8,6.5,100.0
8.64,100.0,5.6,78.5,6.3,100.0
2.77,81.9,3.9,45.6,8.1,87.9
10.39,97.0,6.0,62.1,6.3,100.0
3.54,73.0,9.3,68.6,7.4,97.0
1.81,77.1,7.4,65.4,8.5,89.2
1.93,81.3,9.6,73.0,5.8,100.0
9.63,76.5,6.5,81.1,5.9,100.0
10.24,85.3,9.4,68.5,7.1,100.0
10.69,64.2,6.4,72.9,6.4,100.0
9.3,71.3,9.0,72.3,8.2,100.0
10.83,95.0,10.0,79.3,8.0,100.0
11.2,83.1,7.0,76.4,7.4,100.0
6.91,86.8,5.0,85.4,8.5,100.0
7.95,98.7,10.0,80.6,6.7,100.0
11.49,64.5,5.9,60.4,7.1,100.0
6.66,52.1,6.4,70.7,8.4,91.4
3.65,99.6,6.9,79.1,9.9,100.0
11.32,68.2,9.1,69.2,6.5,100.0
1.56,82.7,8.7,34.6,6.7,85.1
7.42,65.6,8.6,89.0,8.9,100.0
11.22,56.3,7.0,72.9,7.1,100.0
9.19,81.0,7.1,71.1,5.3,100.0
7.66,86.5,8.9,71.5,7.6,100.0
6.35,73.5,10.0,58.0,7.0,100.0
4.0,56.4,5.2,68.0,7.2,85.4
7.2,84.8,9.7,63.5,8.2,100.0
9.12,100.0,9.2,57.9,6.5,100.0
7.17,64.5,8.6,69.4,6.4,100.0
9.43,89.4,6.2,72.5,6.2,100.0
11.64,84.5,7.6,80.9,8.5,100.0
8.03,63.2,8.2,71.2,7.4,100.0
8.79,91.8,6.3,66.2,4.0,100.0
10.34,83.6,9.6,74.8,8.2,100.0
7.08,80.3,6.6,80.6,7.6,100.0
4.17,94.5,10.0,79.6,4.0,100.0
9.73,82.1,4.8,65.3,9.0,100.0
10.07,94.5,5.0,69.1,9.3,100.0
11.78,100.0,4.1,64.6,7.2,100.0
1.23,83.9,8.8,93.6,7.8,97.8
6.58,86.2,5.9,79.8,6.6,100.0
1.67,76.1,6.0,82.7,6.5,88.6
6.46,97.2,9.1,56.3,8.5,100.0
6.25,69.6,10.0,72.5,6.5,100.0
3.42,76.8,6.1,84.9,6.5,91.1
11.99,81.4,9.9,53.1,7.6,100.0
9.17,80.2,8.5,67.0,5.3,100.0
5.25,74.9,7.5,45.2,6.5,86.6
9.74,90.8,5.3,100.0,8.0,100.0
3.71,78.9,4.9,71.0,4.9,91.1
4.13,60.5,7.6,62.1,6.8,94.2
9.54,93.6,7.7,78.9,6.5,100.0
8.65,99.3,6.2,63.5,6.1,100.0
9.63,76.4,5.7,76.0,5.5,100.0
5.28,95.6,5.1,62.7,5.9,100.0
3.03,76.7,8.1,82.0,6.1,96.1
5.78,72.1,8.7,60.4,6.0,91.8
9.15,72.8,8.8,70.1,6.7,100.0
10.31,98.4,8.6,56.2,6.5,100.0
10.92,95.7,6.5,70.3,5.7,100.0
11.92,89.0,10.0,66.9,7.4,100.0
4.45,71.9,5.7,53.3,7.3,86.4
10.22,90.0,8.5,89.9,5.3,100.0
11.98,71.1,6.8,65.9,8.2,100.0
4.08,88.3,5.5,68.2,6.7,100.0
1.06,76.5,6.3,79.5,7.7,94.0
2.57,76.3,8.5,56.9,6.1,92.2
9.55,76.8,9.4,55.3,5.7,100.0
9.84,61.3,8.1,60.4,7.0,100.0
3.86,64.4,2.2,81.1,5.8,87.1
11.34,80.5,8.8,56.6,8.2,100.0
3.6,71.3,3.7,99.4,9.5,90.1
9.01,90.2,10.0,71.2,7.9,100.0
3.03,93.7,7.9,72.9,7.0,100.0
9.33,66.4,7.8,74.2,6.5,100.0
1.56,66.9,9.3,60.9,6.0,87.8
7.49,80.3,7.0,68.1,6.7,100.0
4.84,100.0,7.0,61.2,6.0,96.4
8.25,74.1,6.8,67.4,6.3,100.0
10.75,86.9,7.7,65.7,8.6,100.0
4.54,65.4,7.6,85.6,6.6,97.3
11.46,72.8,7.9,70.9,7.9,100.0
5.97,86.7,2.0,68.8,8.2,98.3
5.4,79.4,7.3,66.6,7.2,100.0
3.25,86.8,4.6,59.7,7.5,88.8
1.61,83.1,10.0,57.5,7.2,92.2
1.67,81.7,8.9,65.9,6.0,91.4
10.35,81.4,9.2,83.3,6.7,100.0
1.08,95.5,8.3,74.3,7.8,96.4
8.13,81.1,8.7,61.1,5.4,100.0
7.71,90.4,5.9,59.2,6.4,100.0
7.46,79.1,8.9,64.8,7.5,100.0
6.06,82.7,9.0,80.7,7.7,100.0
1.7,71.0,7.8,80.4,7.1,98.7
3.12,60.7,8.9,63.7,6.6,91.2
8.64,77.4,9.4,61.1,7.5,100.0
10.8,82.6,7.5,74.2,7.3,100.0
6.3,76.9,5.5,59.2,7.1,100.0
5.29,87.1,9.0,65.4,7.1,100.0
10.17,73.6,10.0,87.4,7.4,100.0
1.44,67.7,5.3,60.8,6.3,75.9
7.58,66.9,9.6,69.7,8.2,100.0
11.68,88.1,8.0,68.1,8.5,100.0
5.73,73.3,8.6,79.1,6.7,100.0
4.32,81.6,9.0,71.2,4.2,91.9
5.1,67.4,5.6,51.5,5.6,82.9
7.32,72.8,8.0,55.8,7.9,100.0
10.7,81.2,9.3,74.9,5.8,100.0
9.02,92.2,10.0,67.6,7.6,100.0
4.77,70.7,9.1,62.5,5.5,100.0
5.21,66.8,5.8,52.2,7.7,93.8
7.99,81.2,7.9,71.3,7.1,100.0
7.91,82.8,7.1,62.8,7.0,100.0
2.25,76.9,7.6,76.5,6.5,99.8
7.35,93.4,9.5,72.0,7.5,100.0
9.22,64.1,5.0,57.4,5.6,98.4
2.4,73.0,8.4,53.2,7.4,89.6
9.53,81.2,8.3,61.5,6.7,100.0
2.63,72.4,5.8,72.5,8.9,94.3
1.95,84.6,9.5,76.4,4.6,95.1
7.13,81.2,6.4,45.2,7.2,98.6
9.59,78.7,7.6,84.3,6.2,100.0
7.78,100.0,2.8,71.2,7.6,100.0
7.67,71.3,9.5,64.2,8.1,100.0
2.02,78.6,7.0,44.8,5.3,79.3
7.37,86.1,6.9,55.8,8.7,100.0
6.66,73.7,10.0,81.8,6.5,100.0
1.16,82.5,4.0,68.8,6.7,84.3
9.43,89.7,9.1,69.2,6.1,100.0
3.42,83.4,9.4,64.0,4.3,98.2
6.1,88.6,3.9,62.1,6.4,95.9
6.03,77.4,8.0,64.1,5.5,96.2
8.48,78.6,6.8,78.6,5.0,100.0
10.48,100.0,5.6,78.2,8.3,100.0
9.58,85.9,5.2,75.6,8.3,100.0
3.33,90.9,8.8,65.2,7.3,100.0
3.52,74.7,9.6,72.8,5.8,100.0
5.71,79.0,5.5,86.6,8.3,98.8
5.02,92.9,5.8,78.5,7.1,99.6
8.91,82.1,9.0,84.3,6.7,100.0
7.03,68.8,10.0,51.7,6.0,100.0
5.95,72.2,4.7,44.8,7.1,95.9
7.65,80.6,4.9,77.8,6.7,100.0
5.19,96.9,5.5,66.6,6.6,89.8
10.44,86.6,5.6,30.0,6.6,94.6
9.22,73.6,9.6,77.4,7.8,100.0
9.76,81.1,5.6,81.6,7.6,100.0
11.9,81.9,10.0,72.2,8.6,100.0
8.56,64.6,8.4,70.0,6.6,100.0
8.17,81.0,9.4,50.1,5.5,100.0
9.43,77.8,8.7,81.3,7.2,100.0
7.96,79.8,5.6,98.6,5.0,100.0
11.51,72.4,4.9,99.4,5.9,100.0
5.47,85.1,9.3,68.9,8.2,100.0
5.06,77.2,9.8,70.2,8.9,98.7
1.94,73.6,8.3,77.8,7.5,89.8
11.37,99.9,7.5,54.6,7.2,100.0
1.9,77.6,7.7,61.9,6.6,89.5
11.01,67.7,7.9,76.9,7.1,100.0
4.9,93.5,5.0,71.8,7.0,97.5
11.91,95.4,7.6,62.0,7.4,100.0
2.44,71.7,7.5,67.3,6.0,90.9
3.66,77.0,4.2,53.9,7.2,83.9
9.7,79.5,2.5,63.8,5.3,100.0
5.28,77.3,7.0,82.0,5.1,100.0
5.85,67.4,3.7,60.9,8.3,89.7
3.21,70.5,3.2,59.7,10.0,92.6
2.72,100.0,4.3,63.3,7.2,87.3
10.45,75.2,7.9,54.1,7.0,100.0
7.51,75.9,7.4,76.5,8.6,100.0
9.65,89.0,7.7,49.9,5.4,100.0
5.03,76.4,10.0,57.1,5.1,96.8
6.35,74.5,8.5,71.4,7.9,98.1
11.07,70.8,10.0,44.3,8.7,100.0
10.96,86.5,7.9,86.7,7.7,100.0
7.55,83.3,9.5,84.5,6.8,100.0
8.5,92.4,10.0,69.0,9.1,100.0
1.82,76.9,10.0,83.5,6.4,100.0
4.78,94.2,7.1,72.1,6.8,100.0
7.24,82.7,5.3,76.2,6.5,98.5
5.86,75.9,7.6,82.5,5.6,100.0
4.38,85.8,10.0,95.4,6.7,100.0
8.73,84.7,10.0,71.7,6.8,100.0
3.59,84.0,7.7,97.5,6.9,100.0
11.01,73.7,8.2,82.4,7.7,100.0
3.28,80.2,10.0,88.5,6.3,100.0
8.9,79.3,7.8,69.6,8.5,100.0
6.44,88.5,8.8,73.8,6.6,100.0
9.06,94.1,9.2,96.3,5.7,100.0
5.46,89.5,7.1,61.7,5.6,99.6
4.89,88.7,5.9,54.6,6.5,97.8
8.09,92.3,10.0,96.9,6.7,100.0
11.6,93.6,6.4,44.4,7.5,100.0
8.57,77.4,5.5,80.6,7.1,100.0
1.18,69.6,7.0,60.7,8.3,84.5
1.34,82.9,7.8,66.5,6.4,88.5
3.35,96.4,8.0,46.9,7.8,88.9
4.89,68.7,6.9,66.2,7.1,100.0
2.75,71.7,8.4,52.0,7.8,80.3
11.49,81.9,10.0,67.7,6.1,100.0
3.92,75.7,6.9,73.7,8.0,98.6
6.05,91.2,7.6,50.8,5.8,100.0
2.55,82.1,10.0,80.2,9.6,100.0
4.36,89.7,5.6,79.4,5.1,100.0
7.0,84.3,5.3,42.5,6.4,93.3
5.6,85.4,6.2,62.2,6.9,100.0
1.98,69.5,7.3,58.8,8.8,90.3
9.23,74.8,9.2,100.0,9.1,100.0
11.67,61.7,4.4,68.4,5.8,100.0
3.59,73.6,6.2,51.2,8.4,98.1
3.44,75.8,5.4,70.4,5.3,88.3
9.31,84.7,4.5,52.3,9.2,100.0
6.0,69.8,5.1,59.0,6.4,97.5
1.44,99.1,8.9,84.3,7.7,100.0
1.53,93.5,7.7,68.2,7.3,100.0
11.8,71.1,7.8,69.7,6.0,100.0
8.96,62.9,8.7,81.8,7.1,100.0
6.67,65.3,8.3,92.6,7.5,100.0
2.74,84.4,8.3,72.5,5.6,86.8
11.01,69.0,10.0,54.9,7.5,100.0
5.13,78.4,8.8,67.6,6.8,100.0
4.61,86.9,2.4,72.2,6.1,94.7
9.69,85.2,8.6,66.6,8.3,100.0
10.0,88.7,9.3,76.5,6.2,100.0
1.21,68.5,8.4,59.4,5.0,86.9
7.05,87.9,6.4,91.1,7.9,100.0
4.86,88.3,5.6,74.6,5.8,97.8
11.67,90.8,7.6,48.5,7.1,100.0
4.46,89.6,8.8,68.6,5.9,100.0
4.31,68.6,9.1,77.4,8.6,100.0
8.24,57.0,4.0,73.7,7.2,100.0
10.94,85.0,8.1,87.6,7.9,100.0
8.06,97.3,9.9,55.8,6.3,100.0
7.16,73.7,8.9,49.3,5.8,100.0
2.33,73.6,10.0,79.0,6.9,100.0
3.83,83.1,6.2,63.1,7.7,97.0
9.79,92.2,5.2,63.8,7.8,100.0
2.5,88.7,9.2,78.8,8.9,100.0
11.34,69.6,10.0,56.3,7.4,100.0
11.42,77.1,5.6,51.8,8.9,100.0
8.03,75.8,7.6,54.2,5.7,99.5
4.32,87.2,7.9,77.0,6.6,98.1
11.17,89.0,8.3,66.4,5.8,100.0
9.77,72.6,9.9,59.1,7.2,100.0
9.11,73.3,10.0,42.6,5.9,100.0
2.56,84.3,6.4,76.6,7.6,93.3
7.72,79.3,6.9,55.0,7.0,100.0
9.99,73.8,4.7,76.2,7.3,100.0
3.55,76.9,9.0,62.9,7.4,97.7
3.84,87.5,5.4,71.7,6.6,94.8
5.92,77.9,7.7,59.3,8.3,96.8
